"","SPECIES","INTERACTIONS AS PREDATOR AT START","INTERACTIONS AS PREY AT START","INTERACTIONS AS PREDATOR AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER PRIMARY FUTURE EXTINCTIONS","INTERACTIONS AS PREDATOR AFTER SECONDARY FUTURE EXTINCTIONS","INTERACTIONS AS PREY AFTER SECONDARY FUTURE EXTINCTIONS"
"149","Turdus pilaris",0,81720,0,80463,0,80463,0,80062,0,80062
"150","Turdus torquatus",0,17604,0,17165,0,17165,0,16988,0,16988
"151","Turdus viscivorus",0,75374,0,73936,0,73936,0,73503,0,73503
"152","Tyto alba",94362,4722,77717,4702,77713,4702,75463,4689,75455,4689
"153","Vanellus vanellus",0,44762,0,44565,0,44565,0,44411,0,44411
"154","Vulpes vulpes",537544,13209,522208,13198,522120,13198,518961,13189,518832,13189
"155","Accipiter gentilis",280570,7090,274808,7061,273955,7061,273164,7046,272174,7046
"156","Acrocephalus arundinaceus",0,21971,0,21537,0,21537,0,21326,0,21326
"157","Acrocephalus dumetorum",0,7352,0,7322,0,7322,0,7322,0,7322
"158","Acrocephalus palustris",0,14535,0,13986,0,13986,0,13756,0,13756
"159","Acrocephalus scirpaceus",0,20404,0,20059,0,20059,0,19906,0,19906
"160","Aegolius funereus",110661,8979,106955,8972,106952,8972,106233,8965,106229,8965
"161","Alces alces",0,3224,0,3216,0,3216,0,3216,0,3216
"162","Anas acuta",0,29648,0,29473,0,29473,0,29386,0,29386
"163","Anthus campestris",0,54201,0,52675,0,52675,0,51961,0,51961
"164","Apodemus agrarius",0,85227,0,84742,0,84742,0,84577,0,84577
"165","Apodemus flavicollis",0,96906,0,95460,0,95460,0,94896,0,94896
"166","Apodemus uralensis",0,51928,0,51758,0,51758,0,51688,0,51688
"167","Athene noctua",193406,15806,179468,15737,179437,15737,176739,15685,176692,15685
"168","Bombycilla garrulus",0,20149,0,19961,0,19961,0,19884,0,19884
